Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Loris Pane,2000512504,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Gabriele Casagrande,2000514039,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Nicola Mauri,2000512034,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Lorenzo Ruiz Díaz,2000508202,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Alessio Termini,2000508199,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rubén Mele,2000508198,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Riccardo Rosso,2000508196,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Ruggero Arpini,2000437690,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ivano Tavella,2000435429,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Prince Ntumba,2000198757,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Jose Carlos Flores,2000193714,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Edward Asamoah,2000193328,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Marco Garofalo,2000190074,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Giacomo Faticanti,2000024755,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Randy Schneider,84153605,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Eric Dier,55032265,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Emmanuel Gyabuaa,43372274,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Felice D'Amico,43297400,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Nadir Zortea,43252462,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Paolo Ghiglione,43140923,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Marco Asensio,67197125,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Fabio Assalino,2000568432,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Liao Jing,2000434024,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Gaggero,2000324502,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jan Bednarek,96047750,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Oussama Idrissi,37052727,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Dion Drena Beljo,24061498,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Claudio Rotunno,2000436308,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Samuele Innocenti,2000323875,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Christian Fogelblad,2000397952,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Giovanni Vezzani,2000570776,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Michele Mascia,2000568039,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Ola Brynhildsen,53125145,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Francis Uzoho,67248183,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Ericson,2000606082,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Stanković,43425978,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fábio Afonso,2000436530,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gianluca Gaetano,43317758,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Giovanni Olivieri,2000568427,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Steph Dheer,2000513407,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Rui Silva,55067163,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shurandy Sambo,37060947,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Robert Gal,2000629194,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Simón Carbonell,2000510246,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Mattia Viviani,43298484,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Giorgos Kyriakopoulos,36090959,0,0,0,1,0,0,1,0,0,1,0,0,0,0
